legacy_id,standard_id,title,submitter,category
"217-38","SO080","国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案","議員","その他"
"217-39","SO081","国有林野事業に従事する職員の給与等に関する特例法案","議員","その他"
"217-40","SO082","農業用植物の優良な品種を確保するための公的新品種育成の促進等に関する法律案","議員","その他"
"217-41","SO083","地域在来品種等の種苗の保存及び利用等の促進に関する法律案","議員","その他"
"217-42","SO084","食料供給困難事態対策法の一部を改正する法律案","議員","その他"
"217-43","SO085","国家公務員法等の一部を改正する法律案","議員","その他"
"217-44","SO086","国家公務員の労働関係に関する法律案","議員","その他"
"217-45","SO087","公務員庁設置法案","議員","その他"
"217-46","SO088","地方公務員法等の一部を改正する法律案","議員","その他"
"217-47","SO089","地方公務員の労働関係に関する法律案","議員","その他"
"217-48","SO090","スポーツ基本法及びスポーツにおけるドーピングの防止活動の推進に関する法律の一部を改正する法律案","議員","その他"
"217-49","SC015","社会保険労務士法の一部を改正する法律案","議員","社会保障"
"217-50","SO091","公職選挙法及び地方自治法の一部を改正する法律案","議員","その他"
"217-51","SO092","衆議院の解散に係る手続等に関する法律案","議員","その他"
"217-52","SC016","租税特別措置の適用状況の透明化等に関する法律及び地方税法の一部を改正する法律案","議員","税制"
"217-53","SC017","租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案","議員","税制"
"217-54","SM004","自動車産業における脱炭素化の推進に関する法律案","議員","経済・産業"
"217-55","SO093","政治団体における複式簿記の導入に関する法律案","議員","その他"
"217-56","SO094","児童扶養手当法の一部を改正する等の法律案","議員","その他"
"217-57","SO095","保育等従業者の人材確保のための処遇の改善等に関する特別措置法案","議員","その他"
"217-58","SO096","郵政民営化法等の一部を改正する法律案","議員","その他"
"217-59","SO097","新型コロナウイルス感染症対策検証委員会等の設置等に関する法律案","議員","その他"
"217-60","SO098","有人国境離島地域の保全及び特定有人国境離島地域に係る地域社会の維持に関する特別措置法の一部を改正する法律案","議員","その他"
"217-61","SO099","刑事訴訟法の一部を改正する法律案","議員","その他"
"217-62","SO100","主要食糧の需給及び価格の安定に関する法律の一部を改正する法律案","議員","その他"
"217-63","SO101","特定空港周辺航空機騒音対策特別措置法の一部を改正する法律案","議員","その他"
"217-64","SO102","民法の一部を改正する法律案","議員","その他"
"217-65","SO103","性同一性障害者の性別の取扱いの特例に関する法律の一部を改正する法律案","議員","その他"
"217-66","SO104","国による全ての水俣病の被害者の救済の実現に向けた給付金等の支給に係る制度の創設に関する法律案","議員","その他"
"215-1","SO105","行政手続における特定の個人を識別するための番号の利用等に関する法律等の一部を改正する法律の一部を改正する法律案","議員","その他"
"215-2","SO106","就労支援給付制度の導入に関する法律案","議員","その他"
"216-1","SC018","賃金上昇を上回る所得税の負担増加等に対処するために所得税に関し講ずべき措置に関する法律案","議員","税制"
"216-3","SC019","揮発油価格高騰時における揮発油税等税率特例停止措置の実施並びに揮発油税等の税率の特例の廃止及び脱炭素社会の実現等に資する税制の構築のための措置に関する法律案","議員","税制"
"216-4","SO107","一般会計からの自動車安全特別会計の自動車事故対策勘定への繰入れのために講ずべき措置に関する法律案","議員","その他"
"216-5","SO108","電気料金の高騰に対する当分の間の措置として電気の使用者に対して再生可能エネルギー電気に係る賦課金の請求が行われないようにするために講ずべき措置等に関する法律案","議員","その他"
"216-9","SO109","政治資金規正法の一部を改正する法律案","議員","その他"
"216-10","SC020","政治資金規正法及び租税特別措置法の一部を改正する法律案","議員","税制"
"216-12","SO110","政党交付金の交付停止等に関する制度の創設に関する法律案","議員","その他"
"216-13","SO111","政治資金規正法等の一部を改正する法律案","議員","その他"
"216-17","SO112","財政法の一部を改正する法律案","議員","その他"
"216-18","SO113","サイバー安全保障を確保するための能動的サイバー防御等に係る態勢の整備の推進に関する法律案","議員","その他"
"216-19","SO114","育児・介護二重負担者の支援に関する施策の推進に関する法律案","議員","その他"
"216-21","SO115","消費者対応業務関連特定行為対策の推進に関する法律案","議員","その他"
"216-22","SO116","被災者生活再建支援法の一部を改正する法律案","議員","その他"
"216-23","SC021","健康保険法及び高齢者の医療の確保に関する法律の一部を改正する法律案","議員","社会保障"
"216-24","SO117","我が国の総合的な安全保障の確保を図るための土地等の取得、利用及び管理の規制に関する施策の推進に関する法律案","議員","その他"
"216-25","SO118","学校給食法の一部を改正する法律案","議員","その他"
"217-1","SO119","特定生殖補助医療に関する法律案","議員","その他"
"217-2","SO120","政治資金規正法の一部を改正する法律案","議員","その他"
"217-3","SO121","政党助成法を廃止する法律案","議員","その他"
"217-4","SO122","学校教育法の一部を改正する法律案","議員","その他"
"217-5","SO123","自殺対策基本法の一部を改正する法律案","議員","その他"
"217-6","SO124","大深度地下の公共的使用に関する特別措置法の廃止に関する措置等に関する法律案","議員","その他"
"217-7","SO125","労働安全衛生法及び特定受託事業者に係る取引の適正化等に関する法律の一部を改正する法律案","議員","その他"
"217-8","SO126","児童の朝の居場所の確保を図るための措置等に関する法律案","議員","その他"
"217-9","SO127","手話に関する施策の推進に関する法律案","議員","その他"
"217-10","SO128","出入国管理及び難民認定法の一部を改正する法律案","議員","その他"
"217-11","SO129","出入国管理及び難民認定法及び外国人の技能実習の適正な実施及び技能実習生の保護に関する法律の一部を改正する法律の一部を改正する法律案","議員","その他"
"217-1","SB001","令和七年度一般会計予算","議員","予算・決算"
"217-2","SB002","令和七年度特別会計予算","議員","予算・決算"
"217-3","SB003","令和七年度政府関係機関予算","議員","予算・決算"
"217-1","SC022","所得に対する租税に関する二重課税の除去並びに脱税及び租税回避の防止のための日本国政府とウクライナ政府との間の条約の締結について承認を求めるの件","議員","税制"
"217-2","SC023","所得に対する租税に関する二重課税の除去並びに脱税及び租税回避の防止のための日本国とトルクメニスタンとの間の条約の締結について承認を求めるの件","議員","税制"
"217-3","SC024","所得に対する租税に関する二重課税の除去並びに脱税及び租税回避の防止のための日本国とアルメニア共和国との間の条約の締結について承認を求めるの件","議員","税制"
"217-4","SM005","経済上の連携に関する日本国とインドネシア共和国との間の協定を改正する議定書の締結について承認を求めるの件","議員","外交・国際"
"217-5","SM006","航空業務に関する日本国とチェコ共和国との間の協定の締結について承認を求めるの件","議員","外交・国際"
"217-6","SM007","航空業務に関する日本国とルクセンブルク大公国との間の協定の締結について承認を求めるの件","議員","外交・国際"
"217-7","SM008","日本国の自衛隊とフィリピンの軍隊との間における相互のアクセス及び協力の円滑化に関する日本国とフィリピン共和国との間の協定の締結について承認を求めるの件","議員","外交・国際"
"217-8","SM009","日本国の自衛隊とイタリア共和国の軍隊との間における物品又は役務の相互の提供に関する日本国政府とイタリア共和国政府との間の協定の締結について承認を求めるの件","議員","外交・国際"
"217-9","SM010","千九百九十四年四月十五日にマラケシュで作成された世界貿易機関を設立するマラケシュ協定のサービスの貿易に関する一般協定の日本国の特定の約束に係る表の改善に関する確認書の締結について承認を求めるの件","議員","外交・国際"
"217-10","SM011","東南アジア諸国連合貿易投資観光促進センターを設立する協定の第二次改正の受諾について承認を求めるの件","議員","外交・国際"
"217-11","SM012","海洋法に関する国際連合条約に基づくいずれの国の管轄にも属さない区域における海洋の生物の多様性の保全及び持続可能な利用に関する協定の締結について承認を求めるの件","議員","外交・国際"
"217-12","SM013","職業上の安全及び健康並びに作業環境に関する条約（第百五十五号）の締結について承認を求めるの件","議員","外交・国際"
"217-13","SM014","千九百九十五年の漁船員の訓練及び資格証明並びに当直の基準に関する国際条約の締結について承認を求めるの件","議員","外交・国際"
"217-1","SO130","令和六年度一般会計原油価格・物価高騰対策及び賃上げ促進環境整備対応予備費使用総調書及び各省各庁所管使用調書（その１）","議員","その他"
"217-2","SO131","令和六年度一般会計予備費使用総調書及び各省各庁所管使用調書（その１）","議員","その他"
"217-3","SO132","令和六年度一般会計予備費使用総調書及び各省各庁所管使用調書（その２）","議員","その他"
"216-1","SO133","令和五年度一般会計原油価格・物価高騰対策及び賃上げ促進環境整備対応予備費使用総調書及び各省各庁所管使用調書","議員","その他"
"216-2","SO134","令和五年度一般会計予備費使用総調書及び各省各庁所管使用調書","議員","その他"
"216-3","SO135","令和五年度特別会計予備費使用総調書及び各省各庁所管使用調書","議員","その他"
"216-4","SB004","令和五年度特別会計予算総則第二十一条第一項の規定による経費増額総調書及び各省各庁所管経費増額調書","議員","予算・決算"
"217-1","SO136","放送法第七十条第二項の規定に基づき、承認を求めるの件","議員","その他"
"217-2","SO137","特定船舶の入港の禁止に関する特別措置法第五条第一項の規定に基づき、特定船舶の入港禁止の実施につき承認を求めるの件","議員","その他"
"217-3","SM015","外国為替及び外国貿易法第十条第二項の規定に基づき、北朝鮮を仕向地とする貨物の輸出及び北朝鮮を原産地又は船積地域とする貨物の輸入につき承認義務を課する等の措置を講じたことについて承認を求めるの件","議員","経済・産業"
"217-1","SO138","検査官に田中淳子君及び挽文子君を任命することについて同意を求めるの件","議員","その他"
"217-2","SO139","総合科学技術・イノベーション会議議員に宮園浩平君、鈴木純君及び波多野睦子君を任命することについて同意を求めるの件","議員","その他"
"217-3","SC025","預金保険機構理事長に三井秀範君を、同理事に正願隆一君及び山崎英司君を、同監事に大谷益世君を任命することについて同意を求めるの件","議員","社会保障"
"217-4","SO140","電波監理審議会委員に西村暢史君及び矢嶋雅子君を任命することについて同意を求めるの件","議員","その他"
"217-5","SO141","日本銀行政策委員会審議委員に小枝淳子君を任命することについて同意を求めるの件","議員","その他"
"217-6","SC026","労働保険審査会委員に比佐和枝君及び廣尚典君を任命することについて同意を求めるの件","議員","社会保障"
"217-7","SC027","中央社会保険医療協議会公益委員に笠木映里君及び城山英明君を任命することについて同意を求めるの件","議員","社会保障"
"217-8","SC028","社会保険審査会委員に辻本京子君を任命することについて同意を求めるの件","議員","社会保障"
"217-9","SO142","中央労働委員会公益委員に荒木尚志君、石井浩君、安西明子君、磯部哲君、小畑史子君、鹿野菜穂子君、久保田安彦君、小圷淳子君、小西康之君、鹿士眞由美君、原恵美君、深道祐子君、川田琢之君、権丈英子君及び山川隆一君を任命することについて同意を求めるの件","議員","その他"
"217-10","SO143","運輸審議会委員に三浦大介君を任命することについて同意を求めるの件","議員","その他"
"217-11","SO144","運輸安全委員会委員長に李家賢一君を、同委員に早田久子君、高野滋君、津田宏果君、松井裕子君及び高橋明子君を任命することについて同意を求めるの件","議員","その他"
"217-12","SO145","会計検査院情報公開・個人情報保護審査会委員に杉山治樹君、福重さと子君及び堀江正之君を任命することについて同意を求めるの件","議員","その他"
"217-13","SO146","公益認定等委員会委員に清水新一郎君、生野考司君、黒田かをり君、湯浅信好君、原田大樹君、北村聡子君及び石津寿惠君を任命することについて同意を求めるの件","議員","その他"
"217-14","SO147","公正取引委員会委員長に茶谷栄治君を任命することについて同意を求めるの件","議員","その他"
"217-15","SO148","国家公安委員会委員に相星孝一君を任命することについて同意を求めるの件","議員","その他"
"217-16","SO149","公認会計士・監査審査会会長に青木雅明君を、同委員に蟹江章君、上田亮子君、古布薫君、玉井裕子君、千葉通子君、川村義則君、塩谷公朗君及び井野貴章君を任命することについて同意を求めるの件","議員","その他"
"217-17","SO150","行政不服審査会委員に八木一洋君、田澤奈津子君、羽田淳一君、福本美苗君、中原茂樹君及び野口貴公美君を任命することについて同意を求めるの件","議員","その他"
"217-18","SO151","情報公開・個人情報保護審査会委員に中里智美君、武藤京子君、稲山文男君、芳仲美惠子君、寺田麻佑君、木村琢麿君、佐藤郁美君、中村真由美君及び久末弥生君を任命することについて同意を求めるの件","議員","その他"
"217-19","SO152","中央更生保護審査会委員に辻惠介君を任命することについて同意を求めるの件","議員","その他"
"217-20","SO153","公害健康被害補償不服審査会委員に八木貴美子君及び山田広樹君を任命することについて同意を求めるの件","議員","その他"
"217-21","SO154","人事官に川本裕子君を任命することについて同意を求めるの件","議員","その他"
"217-22","SO155","原子力委員会委員に吉橋幸子君を任命することについて同意を求めるの件","議員","その他"
"217-23","SO156","個人情報保護委員会委員長に手塚悟君を任命することについて同意を求めるの件","議員","その他"
"217-24","SO157","公認会計士・監査審査会委員に宮本佐知子君を任命することについて同意を求めるの件","議員","その他"
"217-25","SC029","預金保険機構理事に田口紀子君及び島村英君を任命することについて同意を求めるの件","議員","社会保障"
"217-26","SO158","公害等調整委員会委員に中村也寸志君及び大瀧敦子君を任命することについて同意を求めるの件","議員","その他"
"217-27","SO159","日本放送協会経営委員会委員に榊原一夫君、大草透君、岡田美弥子君、藤本雅彦君及び田渕正朗君を任命することについて同意を求めるの件","議員","その他"
"217-28","SO160","日本銀行政策委員会審議委員に増一行君を任命することについて同意を求めるの件","議員","その他"
"217-29","SC030","労働保険審査会委員に菅野淑子君及び齋藤育子君を任命することについて同意を求めるの件","議員","社会保障"
"217-30","SC031","中央社会保険医療協議会公益委員に飯塚敏晃君及び本田文子君を任命することについて同意を求めるの件","議員","社会保障"
"217-31","SC032","社会保険審査会委員に浦野真美子君を任命することについて同意を求めるの件","議員","社会保障"
"217-32","SO161","原子力規制委員会委員に杉山智之君及び神田玲子君を任命することについて同意を求めるの件","議員","その他"
"216-1","SB005","令和五年度一般会計歳入歳出決算、令和五年度特別会計歳入歳出決算、令和五年度国税収納金整理資金受払計算書、令和五年度政府関係機関決算書","議員","予算・決算"
"216-1","SO162","令和五年度国有財産増減及び現在額総計算書","議員","その他"
"216-1","SO163","令和五年度国有財産無償貸付状況総計算書","議員","その他"
"207-1","SO164","日本放送協会令和二年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書","議員","その他"
"210-1","SO165","日本放送協会令和三年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書","議員","その他"
"212-1","SO166","日本放送協会令和四年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書","議員","その他"
"216-1","SO167","日本放送協会令和五年度財産目録、貸借対照表、損益計算書、資本等変動計算書及びキャッシュ・フロー計算書並びにこれらに関する説明書","議員","その他"
"217-1","SO168","国際協同組合年に当たり協同組合の振興を図る決議案","議員","その他"
"217-2","SO169","財政金融委員長三宅伸吾君解任決議案","議員","その他"
"217-1","SO170","参議院規則の一部を改正する規則案","議員","その他"
"217-2","SO171","参議院規則の一部を改正する規則案","議員","その他"
"217-1","SO172","参議院憲法審査会規程の一部を改正する規程案","議員","その他"
"217-2","SO173","参議院事務局職員定員規程の一部を改正する規程案","議員","その他"
"217-3","SO174","参議院情報監視審査会規程の一部を改正する規程案","議員","その他"
